"N1H1_Pool_1"	"N1H1_Pool_2"	"N1H1_Pool_3"	"P1A8_Pool_1"	"P1A8_Pool_2"	"P1A8_Pool_3"
"ENSG00000000003"	85.0844512700855	82.842323324052	72.296058885144	57.9865280252548	58.131814590357	58.7461987881217
"ENSG00000000419"	51.6092120176536	48.1739259553274	49.6881539783822	62.5207574894038	60.7211237722361	67.4111067030896
"ENSG00000000457"	14.3027521126269	14.5729281512199	13.2853240104545	14.8501544499006	14.5096133958089	13.2842109900701
"ENSG00000000460"	24.1993584402258	23.8399927197093	24.8321780918717	29.1281849869265	29.2168895488824	27.0060467517301
"ENSG00000000971"	351.061424827069	371.885037590061	342.359587047135	416.854201468266	426.798385289177	451.263086398007
"ENSG00000001036"	111.925337488473	101.594812876497	112.230399516093	125.029349972928	120.258459149489	115.888607580574
"ENSG00000001084"	50.4548934227422	45.1867218131193	51.6576266381364	40.4394286355401	40.9183789023717	42.0420080784002
"ENSG00000001167"	50.4548934227422	49.4781981864323	49.3599085350898	51.4247975812019	55.1778139744104	52.3641969368158
"ENSG00000001460"	9.97927043342797	10.3079579555067	10.9551916698828	10.616732403861	10.6854590181773	10.6981895556643
"ENSG00000001461"	66.8387702537433	70.0941140974458	65.4029045760043	56.7700274373124	65.3891741282999	59.3092613963146
"ENSG00000001497"	46.0610355453373	50.6141772264269	48.4162028856242	49.4341602554779	51.166208199668	46.2024151278252
"ENSG00000001561"	68.6633383553775	61.9739676263731	62.4897262667845	67.0181232993727	75.6370034255962	77.8590462106683
"ENSG00000001617"	29.5282143795089	28.8622822754188	29.911366020017	58.1339826419751	57.7671231562895	50.832041017411
"ENSG00000001629"	126.528212435777	118.814992923882	133.349711337524	116.00991970469	125.636199036248	137.262151375015
"ENSG00000001630"	281.876781299796	250.914629621034	283.43994028296	240.443553026068	251.381805502717	254.316611367108
"ENSG00000001631"	46.447173733377	44.9952883082313	42.2611905170882	48.0702050508152	50.6771569865835	50.0425021157006
"ENSG00000002016"	9.80351611833178	11.780523377722	9.56014853589021	7.33586718183453	8.1034436649795	7.3510951625179
"ENSG00000002330"	27.9114236249587	25.0214109213037	22.6382676102664	35.5955444762785	28.1027572178063	32.3917405990948
"ENSG00000002549"	71.7911693867505	67.0227633596825	74.8399610706599	186.378580532489	195.766361807426	234.140201240198
"ENSG00000002586"	156.24260723382	161.771829954789	146.069222265104	108.194825018514	97.5914277564588	102.946613531261
"ENSG00000002587"	0	0	0	1.10590962540219	1.78698802693067	1.62662531255715
"ENSG00000002822"	21.5224563825424	20.0268897421274	26.1775741025663	27.3896950557942	24.3978569391147	28.5597867377823
"ENSG00000002834"	287.462566216657	283.952686700877	274.290098551185	318.875032296133	333.838538745375	303.678433352016
"ENSG00000002919"	30.6452968907135	31.2154418201188	32.2090841230636	29.1960141106178	33.2598587869546	29.5920681861359
"ENSG00000003056"	163.68274911928	166.825253750854	159.062818137832	157.763168975208	158.022257147177	151.668108205629
"ENSG00000003096"	21.2990398803015	16.1982196443677	18.2176221027264	74.9069452939084	79.3933251964913	83.1768597324897
